电流,电压,电功,热功,温度
21.70712181,452.842104,9.829898711,1.050023516,20.62348533
21.91421678,452.6740511,9.919997288,1.063723913,20.62886768
22.12155871,452.5040935,10.01009587,1.077548091,20.63430972
22.4101132,452.2652731,10.13531597,1.096955681,20.64197508
22.81044078,451.9309519,10.30874421,1.124177382,20.65278953
23.31469793,451.5072758,10.52675575,1.158906782,20.66671449
24.03972875,450.8977027,10.83945846,1.209599946,20.68734095
24.63620485,450.4087619,11.09636252,1.251658316,20.70229114
25.40288031,449.8002291,11.42622138,1.306068247,20.71776787
25.98980587,449.3327593,11.67807118,1.348393988,20.73001265
26.57719633,448.8642031,11.92955205,1.391321686,20.74261053
27.36161024,448.2389513,12.26453948,1.449493811,20.76001036
28.59581048,447.2596621,12.78975253,1.542879699,20.7887428
30.36829897,445.8677082,13.54024386,1.680785139,20.83284129
32.13031847,444.5028936,14.28201953,1.822159033,20.88041448
34.44671375,442.7442904,15.25108584,2.014103417,20.94812464
36.5248315,441.1980587,16.11468475,2.192087058,21.01742839
37.75600691,440.2268559,16.62120821,2.302646456,21.06970558
38.81506187,439.2708592,17.05032558,2.404342712,21.12427078
39.68008805,438.4372532,17.39722881,2.491003068,21.18082457
40.28580322,437.8272083,17.63822076,2.553604314,21.23891496
40.73409363,437.4076404,17.81740378,2.599110837,21.28297402
41.18154582,437.0061025,17.99658683,2.64419723,21.32771832
41.41238284,436.7786248,18.08804363,2.66843934,21.36439956
41.31955654,436.8105984,18.04882022,2.661136869,21.38024237
41.22595687,436.850911,18.00959681,2.653446767,21.39604221
41.13168324,436.8985655,17.97037341,2.645418872,21.41178844
40.92823667,437.0176416,17.88636146,2.627460468,21.4453226
40.6322877,437.2162883,17.76509801,2.60039003,21.49325183
40.33491712,437.4332669,17.64383456,2.572607057,21.54060887
39.96859789,437.7106583,17.49468129,2.538155857,21.59806138
39.4532782,438.1084196,17.28481336,2.489738144,21.67741028
38.60159055,438.7626263,16.93693525,2.410738143,21.78477263
37.46454579,439.6246466,16.4703377,2.307432462,21.8876852
36.85272487,440.0942509,16.21867235,2.252444355,21.94123451
36.24249353,440.5603874,15.96700699,2.19825297,21.99337764
35.40826723,441.1827972,15.62151838,2.125615338,22.06272703
34.02686541,442.1733347,15.04577255,2.008982314,22.17276386
32.65204376,443.1583972,14.47002738,1.895647375,22.2760577
32.23578174,443.4539064,14.29508334,1.861954937,22.29851954
31.68629838,443.844908,14.06380219,1.817827106,22.32047984
31.17462223,444.2175797,13.84831523,1.776854605,22.34044822
30.66346785,444.5951235,13.63282827,1.736143624,22.35993167
30.04030015,445.059035,13.36970699,1.686924204,22.38306886
28.83033582,445.9658937,12.85734648,1.592833241,22.42610301
27.45510036,447.0043615,12.27254961,1.48834229,22.47202752
25.88671965,448.1965406,11.6023382,1.372458692,22.5206025
23.37151146,450.1090187,10.51972809,1.194410248,22.59037094
23.24179361,450.2135377,10.46377012,1.185351711,22.595842
23.17034173,450.275264,10.43303174,1.180277375,22.6012765
23.07659678,450.3526929,10.3926075,1.173715302,22.60837998
22.98304636,450.4269401,10.35218325,1.167250739,22.6154364
22.85267685,450.5275755,10.2957611,1.158329857,22.6252086
22.67525183,450.6621361,10.21887742,1.146285625,22.63838169
22.36854622,450.8864788,10.08567504,1.125762586,22.66081956
22.02185427,451.1463888,9.935080026,1.102590631,22.68560253
21.6753298,451.4111192,9.784484883,1.079502619,22.70976852
21.2857921,451.7114035,9.615035021,1.053710639,22.73622853
20.52241309,452.3069699,9.282430478,1.003698476,22.78594747
20.22551507,452.5414312,9.152883538,0.984436035,22.80452137
20.245681,452.5292825,9.161763498,0.985663529,22.80804238
20.31685349,452.4782779,9.192934879,0.99016481,22.81157241
20.40843266,452.4104408,9.232988014,0.996012485,22.81613033
20.50013211,452.3405554,9.273041142,1.001920444,22.82071487
20.64713625,452.226084,9.337173571,1.011468608,22.82811256
20.84496645,452.0695068,9.423373701,1.02442384,22.83816702
21.12823302,451.8436739,9.546658432,1.043116382,22.85277079
